"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2574","Playwright Document Page Verify to work copy button at report sec","chromium","Sun May 10 12:50:24 UTC 2026","passed","Sun May 10 12:50:27 UTC 2026","","DocPage.spec.ts","",""
"","26528","iFrame practice1","chromium","Sun May 10 12:50:46 UTC 2026","passed","Sun May 10 12:51:12 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1163","Playwright header training:API","chromium","Sun May 10 12:50:41 UTC 2026","passed","Sun May 10 12:50:42 UTC 2026","","Header.spec.ts","",""
"","911","Playwright header training:Logo","chromium","Sun May 10 12:50:40 UTC 2026","passed","Sun May 10 12:50:41 UTC 2026","","Header.spec.ts","",""
"","1680","Playwright Document of right side bar Verify link count to be greater than 3 at writing tests sec","chromium","Sun May 10 12:50:35 UTC 2026","passed","Sun May 10 12:50:37 UTC 2026","","DocPage.spec.ts","",""
"","1219","Playwright Document Page Verify to work report tabs","chromium","Sun May 10 12:50:19 UTC 2026","passed","Sun May 10 12:50:20 UTC 2026","","DocPage.spec.ts","",""
"","1271","Playwright footer training:FeatureVideo","chromium","Sun May 10 12:50:39 UTC 2026","passed","Sun May 10 12:50:40 UTC 2026","","Footer.spec.ts","",""
"","1012","Playwright footer training:isOuterLinks","chromium","Sun May 10 12:50:40 UTC 2026","passed","Sun May 10 12:50:41 UTC 2026","","Footer.spec.ts","",""
"","2208","Playwright Document Page Verify to work copy button at install sec","chromium","Sun May 10 12:50:22 UTC 2026","passed","Sun May 10 12:50:24 UTC 2026","","DocPage.spec.ts","",""
"","1748","Playwright Document Page Verify to work version tabs","chromium","Sun May 10 12:50:22 UTC 2026","passed","Sun May 10 12:50:24 UTC 2026","","DocPage.spec.ts","",""
"","2001","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Sun May 10 12:50:31 UTC 2026","passed","Sun May 10 12:50:33 UTC 2026","","DocPage.spec.ts","",""
"","15448","tab practice6","chromium","Sun May 10 12:51:17 UTC 2026","passed","Sun May 10 12:51:33 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1535","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Sun May 10 12:50:34 UTC 2026","passed","Sun May 10 12:50:35 UTC 2026","","DocPage.spec.ts","",""
"","1868","Playwright Document Page Verify to work test tabs","chromium","Sun May 10 12:50:20 UTC 2026","passed","Sun May 10 12:50:22 UTC 2026","","DocPage.spec.ts","",""
"","1377","Playwright header training:Hover menu2","chromium","Sun May 10 12:50:43 UTC 2026","passed","Sun May 10 12:50:44 UTC 2026","","Header.spec.ts","",""
"","1395","Playwright footer training:GetStarted","chromium","Sun May 10 12:50:38 UTC 2026","passed","Sun May 10 12:50:39 UTC 2026","","Footer.spec.ts","",""
"","1534","Playwright header search button","chromium","Sun May 10 12:50:45 UTC 2026","passed","Sun May 10 12:50:47 UTC 2026","","Header.spec.ts","",""
"","20239","iFrame practice3","chromium","Sun May 10 12:50:53 UTC 2026","passed","Sun May 10 12:51:13 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","2327","Playwright Document Page Verify to work copy button at run sec","chromium","Sun May 10 12:50:24 UTC 2026","passed","Sun May 10 12:50:26 UTC 2026","","DocPage.spec.ts","",""
"","2396","Playwright Document Page Verify to work copy button at test sec","chromium","Sun May 10 12:50:26 UTC 2026","passed","Sun May 10 12:50:29 UTC 2026","","DocPage.spec.ts","",""
"","774","tab practice4","chromium","Sun May 10 12:51:45 UTC 2026","passed","Sun May 10 12:51:46 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","2495","Playwright Document Page Verify to work copy button at version sec","chromium","Sun May 10 12:50:29 UTC 2026","passed","Sun May 10 12:50:31 UTC 2026","","DocPage.spec.ts","",""
"","894","Playwright header training","chromium","Sun May 10 12:50:45 UTC 2026","passed","Sun May 10 12:50:46 UTC 2026","","Header.spec.ts","",""
"","2661","Playwright Document Page Verify to work copy button at update sec","chromium","Sun May 10 12:50:27 UTC 2026","passed","Sun May 10 12:50:30 UTC 2026","","DocPage.spec.ts","",""
"","472","file download practice1","chromium","Sun May 10 12:50:37 UTC 2026","passed","Sun May 10 12:50:38 UTC 2026","","download-test/Download.spec.ts","",""
"","1386","Playwright header training:Hover menu3","chromium","Sun May 10 12:50:44 UTC 2026","passed","Sun May 10 12:50:45 UTC 2026","","Header.spec.ts","",""
"","1220","Playwright footer training:LearnVideo","chromium","Sun May 10 12:50:38 UTC 2026","passed","Sun May 10 12:50:39 UTC 2026","","Footer.spec.ts","",""
"","6277","iFrame practice2","chromium","Sun May 10 12:50:47 UTC 2026","passed","Sun May 10 12:50:53 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1311","Playwright header training:Docs","chromium","Sun May 10 12:50:41 UTC 2026","passed","Sun May 10 12:50:43 UTC 2026","","Header.spec.ts","",""
"","865","Playwright header training:OuterLink","chromium","Sun May 10 12:50:44 UTC 2026","passed","Sun May 10 12:50:45 UTC 2026","","Header.spec.ts","",""
"","1236","Playwright Document Page Verify to work install tabs","chromium","Sun May 10 12:50:17 UTC 2026","passed","Sun May 10 12:50:18 UTC 2026","","DocPage.spec.ts","",""
"","1093","Playwright Document Page Verify to work run tabs","chromium","Sun May 10 12:50:18 UTC 2026","passed","Sun May 10 12:50:19 UTC 2026","","DocPage.spec.ts","",""
"","1390","Playwright header training:Hover menu","chromium","Sun May 10 12:50:42 UTC 2026","passed","Sun May 10 12:50:44 UTC 2026","","Header.spec.ts","",""
"","678","file upload practice1","chromium","Sun May 10 12:50:37 UTC 2026","passed","Sun May 10 12:50:38 UTC 2026","","download-test/Download.spec.ts","",""
"","1292","Playwright footer training:Ambassadors","chromium","Sun May 10 12:50:39 UTC 2026","passed","Sun May 10 12:50:40 UTC 2026","","Footer.spec.ts","",""
"","1756","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Sun May 10 12:50:35 UTC 2026","passed","Sun May 10 12:50:37 UTC 2026","","DocPage.spec.ts","",""
"","3908","tab practice5","chromium","Sun May 10 12:51:13 UTC 2026","passed","Sun May 10 12:51:17 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","3872","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Sun May 10 12:50:30 UTC 2026","passed","Sun May 10 12:50:34 UTC 2026","","DocPage.spec.ts","",""
"","1812","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Sun May 10 12:50:33 UTC 2026","passed","Sun May 10 12:50:35 UTC 2026","","DocPage.spec.ts","",""
"","1740","Playwright Document Page Verify to work update tabs","chromium","Sun May 10 12:50:20 UTC 2026","passed","Sun May 10 12:50:22 UTC 2026","","DocPage.spec.ts","",""
"","3496","API mocking practice","chromium","Sun May 10 12:50:17 UTC 2026","passed","Sun May 10 12:50:20 UTC 2026","","api-test/Api.spec.ts","",""
